Question,Answer
Vad händer med material när temperaturen höjs?,"* Atomerna börjar vibrera
* Atombindningarna blir svagare
* Atomerna rör sig lättare (diffusion)
* Fasomvandlingar
* Kemiska reaktioner"
Beskriv utförligt vad smälttemperatur och glasomvandlingstemperatur är och vilka material respektive är relevant för.,"Smälttemperatur:

* Kristallina material
* Metaller, keramer
* Går från fast till ""lågviskös""
vätska vid smälttemperaturen, ""Tm""

Glasomvandlingstemperatur

* Amorfa material
* Termoplaster, glas
* Gradvis övergång från fast till ""viskös"" vid
glasomvandlingstemperaturen ""Tg""."
Vad definierar ett materials relevanta användningstemperatur?,"Maximal användningstemperatur begränsas
t.ex. av:

* Försämrade mekaniska egenskaper
* Fasomvandlingar och kemiska förändringar
* Oxidation

Minimal användningstemperatur
begränsas t.ex. av:

* Sprödhet"
Beskriv vad ett materials specifika värmekapacitet innebär för materialet.,Värmekapacitet är ett mått på hur mycket energi som krävs för att höja temperaturen i ett material.
Vad är termisk utvidgning respektive termiska spänningar?,"När temperaturen ökar i ett material uppstår ""Termisk utvidgning/töjning"" (procentuella förlängningen/utvidgningen av materialet) och ""Termiska gradienter"" (storleken och riktningen av utvidgningen på vektorform) eftersom materialet expanderar. Den termiska utvidgningen är proportionell mot temperaturskillnaden*temperaturutvidgningskoefficienten alpha enl: 𝜖𝑇 = 𝛼 (𝑇 − 𝑇0). 

Termiska spänningar är de spänningar som uppstår till följd av att:

* Olika material fogas samman under temperaturförändring
* Termisk utvidgning ger upphov till termiska gradienter

Detta resulterar sammantaget i ""Termisk utmattning"" över tid."
Vad har atombindningar med termisk utvidgning att göra?,"Den termiska utvidgningen är proportionell mot temperaturskillnaden*temperaturutvidgningskoefficienten alpha enl 𝜖𝑇 = 𝛼 (𝑇 − 𝑇0).

Svaga atombindningar ger stor termisk utvidgning och eftersom styrkan hos atombindningarna beror på temperaturen gör också den termiska utvidningskoefficienten det!"
Vilka faktorer är avgörande för ett materials termiska ledningsförmåga?,"Temperatur fördelas med hjälp av nedanstående mekanismer:

* Kristallvibrationer (fononer)
* Elektroner

Kristallvibrationer och elektroner överför energi från område med hög temperatur till område med låg energi! Metaller har därför väldigt bra termisk ledningsförmåga exempelvis (till följd av elektronmoln). 

* Fononer = kristallvibrationer
(vågor/partiklar)
* Fononerna sprids i materialet
* Hindras och sprids på
kristallstörningar

Notera särskilt att:

* Rena legeringar har bäst termisk
ledningsförmåga
* Dislokationer, inlösta atomer och
utskiljningar hindrar/sprider
fononerna => lägre
värmeledningsförmåga"
Beskriv kort vad värmeflöde är och hur det beräknas,"Värmeflödet i ett material är proportionellt mot den partiella derivatan av temperaturen med avseende på avståndet från ytan. Temperaturförändringen över tid är istället proportionellt mot andraterivatan av temperaturen med avseende på avståndet  från ytan. 

Beräkningen av värmeflöde och värmeledning tillhör området ""Termodynamik"" och är inget vi har gått närmare in på i kursen."
Vad är diffusion?,"Diffusion är den spontana spridningsprocess som äger rum när något, oftast gaser eller vätskor, med en egenskap skilt från omgivningen sprids, blandas och jämnas ut. I fallet av temperaturspridning är diffusion och diffusionshastighet mått på hur temperaturen tillåts fördelas i materialet över tid. Notera särskilt att:

* Diffusionshastigheten ökar exponentiellt
med temperaturen
* Beror på vilken atom som rör sig i vilken
kristall"
Vilka är Ficks 1:a och 2:a lag?,"Ficks lagar beskriver allmänt hur diffusion beter sig i ett material, det behöver nödvändigtvis inte vara relaterat till temperatur. 

Fick's 1:a lag beskriver hur flödet (J) är proportionellt mot den partiella derivatan av koncentrationen och Fick's 2:a beskriver hur den partiella derivatan av koncentrationen med avseende på tiden är proportionell mot andraderivatan av koncentrationen. 

Man får en uppsättning partiella differentialekvationer som bäst löses numeriskt."
Vad är krypning? Vad finns det för olika typer av krypning?,"* Krypning sker vid över cirka ½ av smälttemperaturen
* Ger plastisk (permanent) deformation
* Två typer:
- Diffusionskrypning
- Dislokationskrypning

* Primär krypning = snabb deformation tills dislokationer möter hinder
* Steady-state = krypning med konstant töjningshastighet
* Tertiär krypning = Skador i materialet

* Kryphastigheten beror på krypningsmekanism men är allmänt exponentiellt beroende av temperaturen
* Spänningen kan ändra krypmekanism"
Beskriv närmare vad diffusionskrypning är.,"Diffusionskrypning: 

* Förändring av kristallernas korn
m.h.a. diffusion
* Kornen förlängs i
belastningsriktningen"
Beskriv närmare vad dislokationskrypning är.,"Dislokationskrypning:

* Plastisk deformation m.h.a.
dislokationsrörelse
* Diffusion hjälper dislokationerna att
komma runt hinder"
Vad är ett krypbrott?,"Krypbrott fås när det har
initierats porer som har tillväxt
till brott till följd av krypning."
