Question,Answer
Åldring,"Åldring av metaller (eller åldringshärdning) är en process där metallens mikrostruktur och egenskaper förändras över tid, antingen genom naturlig åldring vid rumstemperatur eller genom en kontrollerad värmebehandling som kallas artificiell åldring. Åldring används ofta för att förbättra mekaniska egenskaper som hårdhet och hållfasthet i metallegeringar, särskilt aluminium-, titan- och nickelbaserade legeringar."
Brottförlängning,Den plastiska förlängningen som kvarstår efter ett material har belastats till brott.
Keram,Ett material som är uppbyggt av en metall och en icke-metall (minst).
CO2-foot print,Den mängd CO2 som bildas vid produktion av ett kilo material.
Anisotropt,Olika egenskaper i olika riktningar
TTT-diagram,"Ett diagram som visar fastransformationer vid svalning som funktion av tid och
temperatur."
Krypning,"Långsam plastisk deformation som beror på temperatur, tid och last. Sker vid temperaturer över halva smälttemperaturen i K, och töjningshastigheten ökar exponentiellt med
temperaturen."
Brottseghet,"Ett mått på materialets seghet, hur mycket energi som behövs för att driva en
spricka. Brott fås när spänningsintensiteten vid sprickspetsen är högre än brottsegheten."
Högcykelutmattning,"Utmattning är brott som uppkommer vid cyklisk belastning. Vid högcykelutmattning är belastningen under sträckgränsen, och materialet plasticerar bara lokalt
vid sprickspetsen, vilket ger ett stort antal cykler till brott."
Aktiveringsenergi,"Den energibarriär som måste övervinnas m.h.a. termisk energi för att vissa processer skall kunna
ske, t.ex. kemiska reaktioner, diffusion, krypning."
Specifik värmekapacitet,"Värmekapacitet är den mängd energi som krävs för att höja temperaturen med en grad Kelvin i en viss mängd material.
Specifik värmekapacitet är den mängd energi som går åt för att värma upp specifikt ett kilogram av ämnet."
Diffusionskoefficient,"Ett mått på hur snabbt atomer rör sig (diffunderar) i ett material. Beror på temperaturen och vilka atomer som diffunderar, och i vilket material."
Metastabil,Ett tillstånd i ett lokalt energiminimum. För att uppnå tillståndet med lägst energi (stabilt) måste en energibarriär övervinnas genom tillförsel av termisk energi. Fasen har högre Gibbs fria energi men antar spontant inte den mer stabila fasen.
Intermetall,En fas bestående av minst två metaller som finns mellan två metaller i fasdiagrammet.
Adhesiv förslitning,"Vid nötningen binds materialen samman med atomära bindningar, och material rycks bort när ytorna glider mot varandra. De två materialen svetsas punktvis samman, och slits isär."
Slagseghet,Den energi som går åt för att slå av en anvisad provstav. Ett mått på hur segt eller sprött materialet är.
Styvhet,Ett mått på hur mycket ett material deformeras elastiskt när det utsätts för en last.
Eutektikum,"En strukturbeståndsdel som består av två faser. Eutektikum bildas vid konstant temperatur
och koncentration genom en trefasreaktion där en smält fas L bildar två fasta faser: L => alpha + beta"
Mjukglödgning,"En värmebehandling av stål där man får sfäriodiserad perlit, vilket ger ett material med lägre sträckgräns men som är lättare att maskinarbeta. Stålet värms upp till en temperatur under austenitiseringstemperaturen, och
diffusion ger sfäriodiserad cementit."
Kristallin,Atomer eller molekyler som sitter i en ordnad struktur.
Krypning (metaller),"Plastisk deformation som beror på tid, temperatur och last."
Abrasiv förslitning,Förslitning som fås när ett hårt material/medium avverkar ytan.
Verktygsstål,Höglegerat stål med hög kolhalt. Används i härdat tillstånd. Hårt och värmetåligt.
Ja/Nej: Bästa sättet att öka E-modulen är att värmebehandla (härda) metallen.,"Nej, E-modulen (elasticitetsmodulen) är ett mått på ett materials styvhet och påverkas främst av materialets atomära bindningar. Värmebehandling, som härdning, förändrar inte de interatomära bindningarna i någon betydande utsträckning och därmed inte E-modulen. Härdning påverkar främst materialets sträckgräns och hårdhet, inte dess styvhet."
Ja/Nej: Dislokationer är lika viktiga för ett materials E-modul som för sträckgränsen.,"Nej, dislokationer påverkar främst materialets sträckgräns och duktilitet, eftersom de spelar en viktig roll i plastisk deformation. E-modulen bestäms däremot av de elastiska egenskaperna hos atomernas bindningar, och dislokationer har en försumbar effekt på den."
Ja/Nej: Perlit bildas vid en eutektisk reaktion från smälta.,"Nej, perlit bildas inte vid en eutektisk reaktion, utan vid en eutektoidisk reaktion. I stål sker denna reaktion vid ca 727°C då austenit (en fast lösning) omvandlas till en blandning av ferrit och cementit (perlit), inte från smälta."
Ja/Nej: Målet med utskiljningshärdning är att få bort dislokationerna.,"Nej, utskiljningshärdning syftar inte till att ta bort dislokationer, utan till att skapa små partiklar (utskiljningar) som hindrar dislokationsrörelser. Detta gör materialet starkare eftersom dislokationerna har svårare att röra sig genom materialet, vilket ökar sträckgränsen och hårdheten."
Ja/Nej: Omslagstemperatur finns hos vanligt stål men inte hos aluminium och rostfritt stål.,"Ja, vanligt stål har en omslagstemperatur, där materialet övergår från att vara duktilt vid högre temperaturer till att bli sprött vid lägre temperaturer. Aluminium och de flesta rostfria stål har dock inte denna sprödbrottsegenskap eftersom de behåller sin duktilitet vid låga temperaturer."
