Question,Answer
Vad innebär kallbearbetning?,"Kallbearbetning, även känt som deformationshärdning eller kalldeformation, är en process som stärker metall genom plastisk deformation som exempelvis kallvalsning och tråddragning.

Mycket högre dislokationsdensitet efter
kallbearbetning => högre sträckgräns
(deformationshärdning)"
Vad innebär rekristallation?,"Rekristallation är en process inom metallbearbetning där en deformerad metall omstrukturerar sin inre kristallstruktur för att minska spänningar och återställa dess ursprungliga egenskaper. När metallen deformeras plastiskt, till exempel genom valsning eller smidning, blir dess kristallstruktur och dislokationer störda, vilket leder till hårdare och sprödare egenskaper (detta kallas kallbearbetning).
Rekristallation sker när den deformerade metallen värms upp till en specifik temperatur, kallad rekristallationstemperaturen. Vid denna temperatur börjar nya, icke-deformerade korn att bildas inuti materialet. Dessa nya korn ersätter de gamla, deformerade kornen och bidrar till att:

* Sänka metallens hårdhet och öka dess duktilitet – metallen blir mjukare och mer formbar.
* Minska inre spänningar – som byggts upp under deformationen.
* Förbättra materialets struktur – den får en jämnare och mer homogen kornstruktur."
Vad innebär varmbearbetning?,"Varmdeformation är en process där metaller deformeras vid temperaturer som är högre än deras rekristallationstemperatur (ofta över cirka 0,5 gånger smälttemperaturen i kelvin). Vid dessa temperaturer kan metallens kristallstruktur rekonstrueras samtidigt som deformationen sker, vilket gör att nya korn kan bildas kontinuerligt under bearbetningen. Detta innebär att materialet inte härdas, och det behåller sin duktilitet och formbarhet. Varmdeformation används ofta för stora formändringar, exempelvis vid smidning och valsning i höga temperaturer.

Sammanfattningsvis:

* Bearbetning vid en temperatur över rekristallisations-
temperaturen
* Ger deformation utan att höja sträckgänsen
* Stora deformationer är möjliga"
Ge minst två exempel på plastiska formningsmetoder.,"Exempel:

* Smide
* Valsning
* Pressning
* Tråddragning"
Redogör för vad gjutning innebär för materialet och ge exempel på minst två gjutningsmetoder.,"* Gjutstruktur – Olika struktur i
olika delar av gjutgodset
* Defekter – porer, sprickor
* Ofta något sämre mekaniska
egenskaper än valsade eller
smidda material

Exempel:
* Formgjutning
(högt och lågt tryck)
* Sandgjutning
* Lost wax- casting"
Redogör för vad svetsning innebär för det vederbörande materialet.,"* Svets där materialet har smält och
stelnat – gjutstruktur
* Värmepåverkad zon (HAZ) –
förändrad mikrostruktur,
korntillväxt, förändrad härdning
* Ofta sprickor"
Beskriv stålets tillverkningsprocess i grova mått.,"* Utgångsmaterial: järnoxid
* Reduceras i masugn:
järnoxid + kol + energi => tackjärn + koloxid
* Kolhalten i tackjärnet justeras till rätt kolhalt, stålet legeras, skrot kan tillsättas
* Processen kräver energi
- processenergi
- energi till reducering (är konstant)
* Återvinning sparar energi och råvaror, ger mindre utsläpp av koldioxid

Därefter behandlas stålet:

* Färskning = kolhalten justeras
* Legering
* Kontinuerlig gjutning
* Varmvalsning
* Kallbearbetning
* Kallvalsning, tråddragning, m.m.
=> plåt, räls, balkar, stång, tråd"
Repetition: Beskriv vad en anlöpning är och hur den används.,"Anlöpning av härdat stål är en process som används för att öka materialets duktilitet och sänka dess hårdhet.

För att uppnå detta återuppvärms stålet till en temperatur beroende på stålsort och produkt precis under den punkt där ferrit omvandlas till austenit (cirka 910 °C). 

* En uppvärmning till en temperatur under
austenittemeraturen ger fasomvandling till
anlöpt martensit = perlit + cementit (mycket
fina utskiljningar)
* Minskar hårdhet något, men mycket segare
* Kan bestämma hårdhet med
anlöpningstemperatur"
Ge minst två exempel på värmebehandlingar för stål.,"* Normalisering: austenitisering + långsam kylning => primär ferrit eller cementit + perlit. Andel perlit ges av kolhalten. Ger ”normal” mikrostruktur, lämpligt för konstruktioner där styvheten är viktig.
* Mjukglödgning: värmning till temperatur under austenittemperatur (723 C) => diffusion och korntillväxt, sfäriodiserad perlit, lägre sträckgräns. Används för
stål som skall maskinbearbetas och därefter härdas.
* Martensithärdning:
1. Värmning till austenitområdet
2. Snabbskylning => martensit
3. Anlöpning => anlöpt martensit = ferrit med mycket små cementitpartiklar
Kolhalten avgör andelen cementit. Temperatur och tid för anlöpningen avgör storleken på cementitpartiklarna. Används när hårdhet och sträckgräns är viktigt."
Nämn minst två produktionsmässiga anledningar till att man legerar stål.,"Stål legeras bland annat för att:

* Öka hållfastheten – Genom att tillsätta legeringsämnen som nickel eller krom kan stålets styrka och hållfasthet förbättras.

* Förbättra korrosionsbeständigheten – Krom och nickel ökar stålets motståndskraft mot rost och korrosion, vilket är särskilt viktigt för rostfria stål.

* Förbättra hårdheten och slitstyrkan – Tillsatser som kol, mangan och vanadin gör stålet hårdare och mer motståndskraftigt mot slitage, vilket är fördelaktigt i verktygsstål.

* Höja duktiliteten och segheten – Vissa legeringsämnen, som nickel, kan öka segheten och duktiliteten, vilket gör stålet mindre sprött vid låga temperaturer.

* Förbättra värmebeständigheten – Legeringar med ämnen som molybden och volfram hjälper stålet att behålla sina egenskaper vid höga temperaturer, vilket är viktigt för verktygsstål och höglegerat stål.

* Förbättra härdbarheten – Legeringar med ämnen som krom och molybden ökar stålets förmåga att härdas djupt, vilket gör att materialet får en jämn hårdhet vid härdning."
