Question,Answer
Vad utgör stål?,Stål är järn legerat med kol som beroende på kolhalt och tillverkningsförhållanden kan ges olika egenskaper.
Vad är ett fasdiagram och vad används det till?,Ett fasdiagram visar vilka faser som är stabila vid vilka specifika temperaturer och sammansättningar av de ingående metallerna i en legering (även tryck m.m.). Gäller vid långsamma förlopp så att utjämning av koncentrationsskillnader kan ske m.h.a. diffusion = jämvikt uppnås.
Vad är Ferrit och när uppstår det?,"Ferrit är rent järn upp till 910°C, BCC, låg löslighet av C."
Vad är Austenit och när uppstår det?,"Austenit, rent järn upp över 910 °C, FCC, upp till 2.1 % löslighet av C."
Vad är cementit och när uppstår det?,"Cementit, Fe3C, intermediär fas, 6,67 % C, mycket hård"
Beskriv vad en anlöpning är.,"Anlöpning av härdat stål är en process som används för att öka materialets duktilitet och sänka dess hårdhet.

För att uppnå detta återuppvärms stålet till en temperatur beroende på stålsort och produkt precis under den punkt där ferrit omvandlas till austenit (cirka 910 °C). 

* En uppvärmning till en temperatur under
austenittemeraturen ger fasomvandling till
anlöpt martensit = perlit + cementit (mycket
fina utskiljningar)
* Minskar hårdhet något, men mycket segare
* Kan bestämma hårdhet med
anlöpningstemperatur"
Vilken inverkan har kolhalten på stålets egenskaper?,Kolet gör att järnet blir brukbart som konstruktionsmaterial överhuvudtaget. Stålet blir sprödare ju mer kol som introduceras.
Vad är martensit och hur uppstår det?,Kan fås vid snabbkylning av stål från austenitområdet. Det är utöver det en metastabil fas med tetragonal struktur = distorderad BCC.
Vad är ett TTT-diagram och vad används det till?,TTT-diagram står för Time Temperature Transformation- diagram och används för att bestämma tid och temperatur för värmebehandlingar.
Varför legerar man stål? Nämn minst två anledningar.,Man legerar stål för att öka hållfastheten eller tilldela det ytterligare egenskaper! Några exempel på detta är ökad härdbarhet och bättre högtemperatursegenskaper. Om man legerar stålet med krom (Cr) får man ett kromoxidskikt på ytan av det färdiga materialet som innebär korrosionsmotstånd (rostfritt stål).
"Vad kännetecknar underkategorin: ""Konstruktionsstål""?","* Kolhalt: < 0.25%

Konstruktionsstål kan delas in i två grupper; Kolstål och HSLA (High Strength Low Alloy)-steels, där låg kolhalt definieras som < 0.25%. Båda är svetsbara men kan ej härdas. Kolstål är billigt och används i exempelvis byggnader eller skepp. HSLA tillverkas mha en termomekanisk process som ger fin mikrostruktur och således hög sträckgräns. Används till exempel i fordonsplåtar och broar."
"Vad kännetecknar underkategorin: ""Maskinstål""?","* Kolhalt: 0.25-0.75 %

Maskinstål kan härdas och är legerat för att öka härdbarheten. Dock är det svårare att svetsa än exempelvis konstruktionsstål. Exempel på användningsområden är järnvägsräls, handverktyg, maskindelar etc."
"Vad kännetecknar underkategorin: ""Verktygsstål""?","* Kolhalt: 0.5-1.7 % C

Verktygsstål är legerat för att erhålla stabila karbider vid hög temperatur. Används i exempelvis gjutformar, pressverktyg, skärverktyg och kullager."
"Vad kännetecknar underkategorin: ""Rostfritt stål""?","Legeras med Cr för att få ett kromoxidskikt på ytan =>
korrosionsskydd

* Ni, stabiliserar austenit vid rumstemperatur
* Tre typer: ferritiska (billiga), austenitiska (bäst korrosionsmotstånd, lågtemperaturegenskaper), martensitiska (kan härdas)"
Vad innebär kalldeformation?,"Kallbearbetning, även känt som deformationshärdning eller kalldeformation, är en process som stärker metall genom plastisk deformation som exempelvis kallvalsning och tråddragning.

Mycket högre dislokationsdensitet efter
kallbearbetning => högre sträckgräns
(deformationshärdning)"
Vad innebär rekristallation?,"Rekristallation är en process inom metallbearbetning där en deformerad metall omstrukturerar sin inre kristallstruktur för att minska spänningar och återställa dess ursprungliga egenskaper. När metallen deformeras plastiskt, till exempel genom valsning eller smidning, blir dess kristallstruktur och dislokationer störda, vilket leder till hårdare och sprödare egenskaper (detta kallas kallbearbetning).
Rekristallation sker när en deformerad metall värms upp till en specifik temperatur, kallad rekristallationstemperaturen. Vid denna temperatur börjar nya, icke-deformerade korn att bildas inuti materialet. Dessa nya korn ersätter de gamla, deformerade kornen och bidrar till att:

* Sänka metallens hårdhet och öka dess duktilitet – metallen blir mjukare och mer formbar.
* Minska inre spänningar – som byggts upp under deformationen.
* Förbättra materialets struktur – den får en jämnare och mer homogen kornstruktur."
Vad innebär varmdeformation?,"Varmdeformation är en process där metaller deformeras vid temperaturer som är högre än deras rekristallationstemperatur (ofta över cirka 0,5 gånger smälttemperaturen i kelvin). Vid dessa temperaturer kan metallens kristallstruktur rekonstrueras samtidigt som deformationen sker, vilket gör att nya korn kan bildas kontinuerligt under bearbetningen. Detta innebär att materialet inte härdas, och det behåller sin duktilitet och formbarhet. Varmdeformation används ofta för stora formändringar, exempelvis vid smidning och valsning i höga temperaturer.

Kortfattat:

* Ger deformation utan att höja sträckgänsen
* Stora deformationer är möjliga"
Beskriv kortfattat vad skillnaden mellan kall- och varmdeformation är.,"Skillnader kortfattat:

* Varmdeformation: Hög temperatur, inga spänningar byggs upp, materialet behåller sin formbarhet och stora dimensionsändringar kan ske under en och samma behandling. 
* Kalldeformation: Låg temperatur, spänningar och hårdhet ökar, materialet blir starkare men samtidigt sprödare."
Ge exempel på minst två plastiska formningsmetoder.,"Exempel:

* Smide
* Valsning
* Pressning
* Tråddragning"
Redogör för vad gjutning innebär för materialet och ge exempel på minst två gjutningsmetoder.,"* Gjutstruktur – Olika struktur i
olika delar av gjutgodset
* Defekter – porer, sprickor
* Ofta något sämre mekaniska
egenskaper än valsade eller
smidda material

Exempel:

* Formgjutning
(högt och lågt tryck)
* Sandgjutning
* Lost wax- casting"
Redogör för vad svetsning innebär för materialet och ge exempel på minst två svetsmetoder.,"* Svets där materialet har smält och
stelnat – gjutstruktur
* Värmepåverkad zon (HAZ) –
förändrad mikrostruktur,
korntillväxt, förändrad härdning
* Ofta sprickor

Ex: TIG/MIG/MAG"
